Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-08-02 07:30,-0.145,0.022,0,0,0,0,p
2018-08-02 07:36,-0.131,0.024,0,0,0,0,p
2018-08-02 07:42,-0.120,0.025,1,0,0,0,p
2018-08-02 07:48,-0.106,0.025,0,0,0,0,p
2018-08-02 07:54,-0.087,0.023,0,0,0,0,p
2018-08-02 08:00,-0.071,0.023,0,0,0,0,p
2018-08-02 08:06,-0.057,0.026,0,0,0,0,p
2018-08-02 08:12,-0.040,0.021,0,0,0,0,p
2018-08-02 08:18,-0.024,0.020,0,0,0,0,p
2018-08-02 08:24,-0.004,0.025,1,0,0,0,p
2018-08-02 08:30,0.015,0.027,0,0,0,0,p
2018-08-02 08:36,0.035,0.023,1,0,0,0,p
2018-08-02 08:42,0.055,0.029,1,0,0,0,p
2018-08-02 08:48,0.074,0.027,1,0,0,0,p
2018-08-02 08:54,0.095,0.029,0,0,0,0,p
2018-08-02 09:00,0.109,0.024,0,0,0,0,p
2018-08-02 09:06,0.128,0.024,0,0,0,0,p
2018-08-02 09:12,0.138,0.030,1,0,0,0,p
2018-08-02 09:18,0.157,0.031,0,0,0,0,p
2018-08-02 09:24,0.171,0.030,1,0,0,0,p
2018-08-02 09:30,0.201,0.026,0,0,0,0,p
2018-08-02 09:36,0.221,0.029,1,0,0,0,p
2018-08-02 09:42,0.238,0.033,1,0,0,0,p
2018-08-02 09:48,0.266,0.040,0,0,0,0,p
2018-08-02 09:54,0.279,0.027,0,0,0,0,p
2018-08-02 10:00,0.298,0.024,0,0,0,0,p
2018-08-02 10:06,0.306,0.032,0,0,0,0,p
2018-08-02 10:12,0.321,0.046,0,0,0,0,p
2018-08-02 10:18,0.337,0.029,0,0,0,0,p
2018-08-02 10:24,0.342,0.028,1,0,0,0,p
2018-08-02 10:30,0.362,0.038,1,0,0,0,p
2018-08-02 10:36,0.381,0.041,0,0,0,0,p
2018-08-02 10:42,0.386,0.032,1,0,0,0,p
2018-08-02 10:48,0.389,0.032,1,0,0,0,p
2018-08-02 10:54,0.391,0.033,1,0,0,0,p
2018-08-02 11:00,0.402,0.036,1,0,0,0,p
2018-08-02 11:06,0.409,0.037,1,0,0,0,p
2018-08-02 11:12,0.425,0.044,0,0,0,0,p
2018-08-02 11:18,0.438,0.038,1,0,0,0,p
2018-08-02 11:24,0.429,0.033,1,0,0,0,p
2018-08-02 11:30,0.433,0.036,1,0,0,0,p
2018-08-02 11:36,0.439,0.039,0,0,0,0,p
2018-08-02 11:42,0.436,0.038,0,0,0,0,p
2018-08-02 11:48,0.442,0.044,1,0,0,0,p
2018-08-02 11:54,0.471,0.041,1,0,0,0,p
2018-08-02 12:00,0.443,0.052,0,0,0,0,p
2018-08-02 12:06,0.431,0.042,1,0,0,0,p
2018-08-02 12:12,0.415,0.041,1,0,0,0,p
2018-08-02 12:18,0.406,0.041,1,0,0,0,p
2018-08-02 12:24,0.396,0.046,1,0,0,0,p
2018-08-02 12:30,0.395,0.051,1,0,0,0,p
2018-08-02 12:36,0.383,0.046,1,0,0,0,p
2018-08-02 12:42,0.370,0.053,1,0,0,0,p
2018-08-02 12:48,0.366,0.036,1,0,0,0,p
2018-08-02 12:54,0.374,0.040,1,0,0,0,p
2018-08-02 13:00,0.368,0.045,1,0,0,0,p
2018-08-02 13:06,0.325,0.049,0,0,0,0,p
2018-08-02 13:12,0.303,0.043,1,0,0,0,p
2018-08-02 13:18,0.289,0.033,1,0,0,0,p
2018-08-02 13:24,0.277,0.040,1,0,0,0,p
2018-08-02 13:30,0.275,0.041,0,0,0,0,p
2018-08-02 13:36,0.271,0.040,0,0,0,0,p
2018-08-02 13:42,0.268,0.040,0,0,0,0,p
2018-08-02 13:48,0.266,0.032,1,0,0,0,p
2018-08-02 13:54,0.237,0.031,1,0,0,0,p
2018-08-02 14:00,0.217,0.033,1,0,0,0,p
2018-08-02 14:06,0.199,0.031,1,0,0,0,p
2018-08-02 14:12,0.183,0.029,1,0,0,0,p
2018-08-02 14:18,0.173,0.033,0,0,0,0,p
2018-08-02 14:24,0.156,0.036,0,0,0,0,p
2018-08-02 14:30,0.151,0.041,1,0,0,0,p
2018-08-02 14:36,0.117,0.038,0,0,0,0,p
2018-08-02 14:42,0.103,0.034,1,0,0,0,p
2018-08-02 14:48,0.075,0.038,1,0,0,0,p
2018-08-02 14:54,0.075,0.043,0,0,0,0,p
2018-08-02 15:00,0.041,0.025,1,0,0,0,p
2018-08-02 15:06,0.020,0.024,1,0,0,0,p
2018-08-02 15:12,0.007,0.030,1,0,0,0,p
2018-08-02 15:18,-0.007,0.025,0,0,0,0,p
2018-08-02 15:24,-0.023,0.033,1,0,0,0,p
2018-08-02 15:30,-0.055,0.031,0,0,0,0,p
2018-08-02 15:36,-0.062,0.027,0,0,0,0,p
